msoa11_cd,msoa11_hclnm,subgroup_code,subgroup_name,all_ages,wk_05,wk_06,wk_07,wk_08,wk_09,wk_10,wk_11,wk_12,wk_13,wk_14,wk_15,wk_16,wk_17,wk_18,wk_19,wk_20,wk_21,wk_22,wk_23,wk_24,wk_25,wk_26,wk_27,wk_28,wk_29,wk_30,wk_31,wk_32,wk_33,wk_34,wk_35,wk_36,wk_37,wk_38,wk_39,wk_40,wk_41,wk_42
E02004405,Crowborough North East,6b2,White Suburban Communities,6459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
E02004406,Crowborough Whitehill & Warren,6a4,Ageing in Suburbia,7593,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,4,NA,11,NA,10,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4
E02004407,Mayfield & Wadhurst,5b3,Self-Sufficient Retirement,8094,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,7,20,5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5
E02004408,Crowborough South East,5b3,Self-Sufficient Retirement,8160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
E02004409,Chelwood & Nutley,1a2,Established Farming Communities,5451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,7,8,6
E02004410,"Buxted, Framfield & Rotherfield",1a2,Established Farming Communities,8405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5
E02004411,Uckfield Town & North,5a1,White Professionals,8642,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,11
E02004412,Heathfield,5b3,Self-Sufficient Retirement,8160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,8
E02004413,Broad Oak & Horam,1a2,Established Farming Communities,7105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
E02004414,Uckfield South,6b2,White Suburban Communities,6466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3
E02004415,"Five Ash Down, Horsted & Chiddingly",1b2,Rural White-Collar Workers,7016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,3,10
E02004416,Herstmonceux & Ninfield,1a2,Established Farming Communities,6490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E02004417,Hailsham Central & East,6b2,White Suburban Communities,6244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
E02004418,Hailsham South & West,5b3,Self-Sufficient Retirement,5800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E02004419,Hailsham East,8c2,Ageing Rural Industry Workers,6150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,7,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,NA
E02004420,"Hailsham North, Alfriston & East Dean",6a3,Detached Retirement Living,13871,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,NA,6,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,9
E02004421,Polegate,6b3,Semi-Detached Ageing,9371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E02004422,"Stone Cross, Westham & Pevensey Bay",6b2,White Suburban Communities,10978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
E02004423,Willingdon,6a3,Detached Retirement Living,7532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
E02004424,Billericay North East,6a2,Comfortable Suburbia,7105,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,3,5,6,8
E02004425,Billericay Queen's Park,6b2,White Suburban Communities,7372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,12
E02004426,Billericay Central & Sunnymede,6b2,White Suburban Communities,8085,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,9,12
E02004427,Billericay Tye Common,6a4,Ageing in Suburbia,7913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,8,10
E02004428,Wickford North East,8c1,Ageing Industrious Workers,6945,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,9,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4
E02004429,Wickford West,6b3,Semi-Detached Ageing,7382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,10
E02004430,Wickford Shotgate,6b2,White Suburban Communities,8244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,12
E02004431,Wickford South,5a1,White Professionals,9831,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,10,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,8,17
E02004432,Bursteads,6b3,Semi-Detached Ageing,6985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,11,6,5
E02004433,Steeple View & Noak Bridge,5a2,Multi-Ethnic Professionals with Families,9018,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,5,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,15,7
E02004434,Felmore & Bowers Gifford,8d2,Hard-Pressed Ethnic Mix,8764,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,NA,10,4,22,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,11,15
E02004435,Whitmore Way & Fremnells,8d2,Hard-Pressed Ethnic Mix,9339,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3,NA,NA,5,6,12,9
E02004436,Chalvedon,7a3,Multi-Ethnic Hardship,8247,NA,NA,NA,NA,NA,NA,NA,NA,4,4,7,NA,7,9,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,6
E02004437,Laindon West & Southfields,7a3,Multi-Ethnic Hardship,9336,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,7,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,5,7,7
E02004438,Basildon Central & Pipps Hill,7a3,Multi-Ethnic Hardship,9746,NA,NA,NA,NA,NA,NA,NA,NA,5,9,6,8,12,5,7,NA,7,9,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,6,11
E02004439,Laindon Central,7a3,Multi-Ethnic Hardship,10123,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,5,4,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,5,8
E02004440,Laindon East & Lee Chapel North,8b1,Deprived Blue-Collar Terraces,8475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,9,13,4,4,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,11,9
E02004441,Eversley,7a3,Multi-Ethnic Hardship,7738,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,5,6,4,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5
E02004442,Barstable,7a3,Multi-Ethnic Hardship,8737,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,NA,6,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4
E02004443,Lee Chapel South & Kingswood,8d2,Hard-Pressed Ethnic Mix,9969,NA,NA,NA,NA,NA,NA,NA,NA,3,9,12,NA,15,9,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,8,7,7,7
E02004444,Langdon Hills,5a2,Multi-Ethnic Professionals with Families,9224,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,4,4,8,NA,NA,3,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,6,7,7
E02004445,Vange & Pitsea,8d2,Hard-Pressed Ethnic Mix,8621,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,16
E02004446,Steeple Bumpstead & Great Yeldham,1b1,Rural Life,6867,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA
E02004447,"Bures Hamlet, Maplestead & Belchamp",1a2,Established Farming Communities,5915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E02004448,"Hedingham, Gosfield & Greenstead Green",1b1,Rural Life,7191,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA
E02004449,Halstead Central & West,8c1,Ageing Industrious Workers,8570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,6,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4
E02004450,"Panfield, Finchingfield & Bardfield",1b2,Rural White-Collar Workers,6354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
E02004451,Halstead East & Colnes,6b2,White Suburban Communities,8854,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
E02004452,Bocking Churchstreet & Blackwater,6b2,White Suburban Communities,9281,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,NA,4,NA,6,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
E02004453,Bocking,8d2,Hard-Pressed Ethnic Mix,7290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,4,NA,NA,NA,NA,6,5
E02004454,Central Braintree,5a3,Families in Terraces and Flats,9467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,9,6,NA,NA,NA,NA,NA,NA,NA,NA,21,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4
E02004455,Braintree West & Rayne,6b2,White Suburban Communities,7872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,4
E02004456,Braintree South,5a1,White Professionals,9984,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,7,7,3,NA,NA,6,NA,NA,NA,NA,NA,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
E02004457,Silver End & Stisted,8c1,Ageing Industrious Workers,10347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,6
E02004458,Great Notley & Black Notley,6b2,White Suburban Communities,9680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,7,6
E02004459,Coggeshall & Kelvedon,8c1,Ageing Industrious Workers,10626,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,3,4,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,9,10
E02004460,North Witham,6b2,White Suburban Communities,9177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
E02004461,West Witham,8d2,Hard-Pressed Ethnic Mix,5895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
E02004462,Witham Town,5a3,Families in Terraces and Flats,11233,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4,9
E02004463,"Witham South, Hatfield Peverel & White Notley",1b2,Rural White-Collar Workers,8001,NA,NA,NA,NA,NA,NA,NA,NA,6,5,NA,4,4,6,3,11,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
E02004464,Kelvedon Hatch & Doddinghurst,6a3,Detached Retirement Living,10115,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,9,9,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,7,4,7,17
E02004465,Ingatestone & Mountnessing,5b1,Delayed Retirement,6260,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,5,3
E02004466,Hutton,7a3,Multi-Ethnic Hardship,8222,NA,NA,NA,NA,NA,NA,NA,NA,3,7,5,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,7
E02004467,Brentwood North,5a2,Multi-Ethnic Professionals with Families,8345,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,NA,5,5,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,7
E02004468,Shenfield & Hutton Mount,6a1,Indian Tech Achievers,10511,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA,NA,3,NA,3,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,8,10,9
E02004469,Brook Street & Pilgrim's Hatch,5b1,Delayed Retirement,7005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,10,6,4
E02004470,Brentwood Central,5a3,Families in Terraces and Flats,11901,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,NA,4,NA,4,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,4,12,9,16
E02004471,Brentwood South & Warley,7a3,Multi-Ethnic Hardship,8523,NA,NA,NA,NA,NA,NA,NA,NA,3,11,11,3,7,NA,5,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,11,6,12
E02004472,"Herongate, Ingrave & West Horndon",6b1,Multi-Ethnic Suburbia,6139,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,4,NA,5,8,4
E02004473,Benfleet North,6b3,Semi-Detached Ageing,7921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,6
E02004474,New Thundersley,6b3,Semi-Detached Ageing,7747,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,8,5,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,3,7,7
E02004475,Benfleet Appleton,6b3,Semi-Detached Ageing,6786,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,4,3,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,4,NA,3
E02004476,Thundersley Glen,6a4,Ageing in Suburbia,8113,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,8,8,11,10
E02004477,Hadleigh North,6a3,Detached Retirement Living,6049,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
E02004478,Hadleigh South,5b1,Delayed Retirement,6541,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,3,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
E02004479,South Benfleet,6b3,Semi-Detached Ageing,8370,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,5,3,4,7,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,7
E02004480,Canvey Island Winter Gardens,6b4,Older Workers and Retirement,7184,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,3,NA,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,4,11,10
E02004481,Canvey Island Newlands,6a3,Detached Retirement Living,6832,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,3,8
E02004482,Canvey Island North West,8b1,Deprived Blue-Collar Terraces,8551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,7,6,8
E02004483,Canvey Island South West,6b3,Semi-Detached Ageing,8344,NA,NA,NA,NA,NA,NA,NA,NA,3,3,6,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,4,8,12
E02004484,Canvey Island Leigh Beck,6b4,Older Workers and Retirement,7938,NA,NA,NA,NA,NA,NA,NA,NA,3,6,5,NA,3,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,5,14
E02004485,Great Leighs & the Walthams,1b2,Rural White-Collar Workers,8405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5
E02004486,South Broomfield,6b2,White Suburban Communities,8718,NA,NA,NA,NA,NA,NA,NA,NA,6,12,5,6,10,9,20,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,3
E02004487,"Melbourne Park, Chignall & Pleshey",8d2,Hard-Pressed Ethnic Mix,7624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6
E02004488,Springfield North,6b2,White Suburban Communities,9135,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,11,6,5,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,6
E02004489,Boreham & Little Baddow,5a2,Multi-Ethnic Professionals with Families,9269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA
E02004490,Melbourne,7a3,Multi-Ethnic Hardship,8275,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,8,10,3,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
E02004491,Springfield South & Coronation Park,5a2,Multi-Ethnic Professionals with Families,7779,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,8,11
E02004492,Chelmer Village,5a1,White Professionals,9415,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,10,13
E02004493,Waterhouse Lane & Admirals Park,7a3,Multi-Ethnic Hardship,10526,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA,3,7,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,5,5,10
E02004494,Central Chelmsford,2c1,Migrant Families,12745,NA,NA,NA,NA,NA,NA,4,NA,5,9,8,6,16,17,18,12,3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,6
E02004495,Writtle & Highwood,5b3,Self-Sufficient Retirement,8512,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,21
E02004496,Moulsham West,5a2,Multi-Ethnic Professionals with Families,8082,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,5
E02004497,Great Baddow North & East,6a4,Ageing in Suburbia,7810,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,5,NA,5,NA,4,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,8,4,5
E02004498,Great Baddow South & West,5b3,Self-Sufficient Retirement,10009,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10
E02004499,Moulsham East,5a1,White Professionals,6808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,8,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,7,6
E02004500,Danbury & Bicknacre,6a4,Ageing in Suburbia,9149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3
E02004501,Galleywood,6a4,Ageing in Suburbia,7088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,6
